Date : 2025-05-22 20:01:21
Directory : /Users/spursh/Documents/code/equestria
Total : 63 files,  10847 codes, 1954 comments, 1347 blanks, all 14148 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |         13 |      3,978 |      1,810 |        867 |      6,655 |
| JSON               |          4 |      3,527 |          0 |          2 |      3,529 |
| TypeScript JSX     |         23 |      2,305 |          1 |        267 |      2,573 |
| JavaScript         |         13 |        826 |        134 |        187 |      1,147 |
| CSS                |          1 |        129 |          1 |          9 |        139 |
| Prisma             |          2 |         46 |          8 |         13 |         67 |
| JSON with Comments |          1 |         27 |          0 |          1 |         28 |
| XML                |          5 |          5 |          0 |          0 |          5 |
| Markdown           |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         63 |     10,847 |      1,954 |      1,347 |     14,148 |
| . (Files)                                                                              |          7 |      3,434 |          0 |          9 |      3,443 |
| app                                                                                    |         10 |      1,201 |          1 |        120 |      1,322 |
| app (Files)                                                                            |          3 |        322 |          1 |         29 |        352 |
| app/api                                                                                |          2 |         69 |          0 |          9 |         78 |
| app/api/diplomatic-relations                                                           |          1 |         50 |          0 |          7 |         57 |
| app/api/features                                                                       |          1 |         19 |          0 |          2 |         21 |
| app/diplomatic-relations                                                               |          1 |        364 |          0 |         33 |        397 |
| app/economy                                                                            |          1 |        109 |          0 |         13 |        122 |
| app/maps                                                                               |          1 |        195 |          0 |         19 |        214 |
| app/our-country                                                                        |          1 |        111 |          0 |         15 |        126 |
| app/test-images                                                                        |          1 |         31 |          0 |          2 |         33 |
| components                                                                             |         16 |      1,302 |          1 |        165 |      1,468 |
| components (Files)                                                                     |          7 |        498 |          1 |         72 |        571 |
| components/ui                                                                          |          9 |        804 |          0 |         93 |        897 |
| lib                                                                                    |         24 |      4,882 |      1,948 |      1,046 |      7,876 |
| lib (Files)                                                                            |          3 |         91 |          1 |         23 |        115 |
| lib/generated                                                                          |         21 |      4,791 |      1,947 |      1,023 |      7,761 |
| lib/generated/prisma                                                                   |         21 |      4,791 |      1,947 |      1,023 |      7,761 |
| lib/generated/prisma (Files)                                                           |         13 |      1,946 |      1,037 |        405 |      3,388 |
| lib/generated/prisma/runtime                                                           |          8 |      2,845 |        910 |        618 |      4,373 |
| prisma                                                                                 |          1 |         23 |          4 |          7 |         34 |
| public                                                                                 |          5 |          5 |          0 |          0 |          5 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/spursh/Documents/code/equestria/README.md                                       | Markdown           |          4 |          0 |          1 |          5 |
| /Users/spursh/Documents/code/equestria/app/api/diplomatic-relations/route.ts           | TypeScript         |         50 |          0 |          7 |         57 |
| /Users/spursh/Documents/code/equestria/app/api/features/route.ts                       | TypeScript         |         19 |          0 |          2 |         21 |
| /Users/spursh/Documents/code/equestria/app/diplomatic-relations/page.tsx               | TypeScript JSX     |        364 |          0 |         33 |        397 |
