"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"/Users/spursh/Documents/code/equestria/app/diplomatic-relations/page.tsx", "TypeScript JSX", 14, 0, 0, 14
"/Users/spursh/Documents/code/equestria/app/page.tsx", "TypeScript JSX", 9, 0, 1, 10
"/Users/spursh/Documents/code/equestria/components/3d/AnimatedBackground.tsx", "TypeScript JSX", 83, 3, 8, 94
"/Users/spursh/Documents/code/equestria/components/3d/FeatureCard3D.tsx", "TypeScript JSX", 118, 8, 14, 140
"/Users/spursh/Documents/code/equestria/components/3d/FloatingFactory.tsx", "TypeScript JSX", 39, 5, 7, 51
"/Users/spursh/Documents/code/equestria/components/3d/MagicalParticles.tsx", "TypeScript JSX", 59, 2, 6, 67
"/Users/spursh/Documents/code/equestria/components/3d/Scene.tsx", "TypeScript JSX", 107, 2, 6, 115
"/Users/spursh/Documents/code/equestria/components/image-carousel.tsx", "TypeScript JSX", 138, 0, 14, 152
"/Users/spursh/Documents/code/equestria/components/pledge-modal.tsx", "TypeScript JSX", 8, 0, 0, 8
"/Users/spursh/Documents/code/equestria/components/ui/modal.tsx", "TypeScript JSX", 1, 0, 0, 1
"Total", "-", 576, 20, 56, 652
